Year,Athlete,Country,Time
2018,Birhane Dibaba,Ethiopia,02:19:51
2017,Sarah Chepchirchir,Kenya,02:19:47
2016,Helah Kiprop,Kenya,02:21:27
2015,Birhane Dibaba,Ethiopia,02:23:15
2014,Tirfi Tsegaye,Ethiopia,02:22:23
2013,Aberu Kebede,Ethiopia,02:25:34
2012,Atsede Habtamu,Ethiopia,02:25:28
2011,Noriko Higuchi [9],Japan,02:28:49
2010,Alevtina Biktimirova,Russia,02:34:39
2009,Mizuho Nasukawa,Japan,02:25:38
2008,Claudia Dreher,Germany,02:35:35
2007,Hitomi Niiya,Japan,02:31:02
