,Year,Athlete,Country,Time,Marathon
8,1905,Frederick Lorz,United States,02:38:25,Boston
7,1904,Michael Spring,United States,02:38:04,Boston
6,1903,John Lorden,United States,02:41:29,Boston
5,1902,Sammy Mellor,United States,02:43:12,Boston
4,1901,Jack Caffery,Canada,02:29:23,Boston
3,1900,Jack Caffery,Canada,02:39:44,Boston
2,1899,Lawrence Brignolia,United States,02:54:38,Boston
1,1898,Ronald MacDonald,Canada,02:42:00,Boston
0,1897,John McDermott,United States,02:55:10,Boston
46,2017,Geoffrey Kamworor,Kenya,02:10:53,New York
45,2016,Ghirmay Ghebreslassie,Eritrea,02:07:51,New York
44,2015,Stanley Biwott,Kenya,02:10:34,New York
43,2014,Wilson Kipsang,Kenya,02:10:59,New York
42,2013,Geoffrey Mutai,Kenya,02:08:24,New York
41,2011,Geoffrey Mutai,Kenya,02:05:05,New York
40,2010,Gebregziabher Gebremariam,Ethiopia,02:08:14,New York
39,2009,Meb Keflezighi,United States,02:09:15,New York
38,2008,Marílson Gomes dos Santos,Brazil,02:08:43,New York
37,2007,Martin Lel,Kenya,02:09:04,New York
36,2006,Marílson Gomes dos Santos,Brazil,02:09:58,New York
35,2005,Paul Tergat,Kenya,02:09:30,New York
34,2004,Hendrick Ramaala,South Africa,02:09:28,New York
33,2003,Martin Lel,Kenya,02:10:30,New York
32,2002,Rodgers Rop,Kenya,02:08:07,New York
31,2001,Tesfaye Jifar,Ethiopia,02:07:43,New York
30,2000,Abdelkader El Mouaziz,Morocco,02:10:09,New York
29,1999,Joseph Chebet,Kenya,02:09:14,New York
28,1998,John Kagwe,Kenya,02:08:45,New York
27,1997,John Kagwe,Kenya,02:08:12,New York
26,1996,Giacomo Leone,Italy,02:09:54,New York
25,1995,Germán Silva,Mexico,02:11:00,New York
24,1994,Germán Silva,Mexico,02:11:21,New York
23,1993,Andrés Espinosa,Mexico,02:10:04,New York
22,1992,Willie Mtolo,South Africa,02:09:29,New York
21,1991,Salvador García,Mexico,02:09:28,New York
20,1990,Douglas Wakiihuri,Kenya,02:12:39,New York
19,1989,Juma Ikangaa,Tanzania,02:08:01,New York
18,1988,Steve Jones,United Kingdom,02:08:20,New York
17,1987,Ibrahim Hussein,Kenya,02:11:01,New York
16,1986,Gianni Poli,Italy,02:11:06,New York
15,1985,Orlando Pizzolato,Italy,02:11:34,New York
14,1984,Orlando Pizzolato,Italy,02:14:53,New York
13,1983,Rod Dixon,New Zealand,02:08:59,New York
12,1982,Alberto Salazar,United States,02:09:29,New York
11,1981,Alberto Salazar,United States,02:08:13,New York
10,1980,Alberto Salazar,United States,02:09:41,New York
9,1979,Bill Rodgers,United States,02:11:42,New York
8,1978,Bill Rodgers,United States,02:12:12,New York
7,1977,Bill Rodgers,United States,02:11:28,New York
6,1976,Bill Rodgers,United States,02:10:10,New York
5,1975,Tom Fleming,United States,02:19:27,New York
4,1974,Norbert Sander,United States,02:26:30,New York
3,1973,Tom Fleming,United States,02:21:54,New York
2,1972,Sheldon Karlin,United States,02:27:52,New York
1,1971,Norman Higgins,United States,02:22:54,New York
0,1970,Gary Muhrcke,United States,02:31:38,New York
40,2018,Mo Farah,United Kingdom,02:05:11,Chicago
39,2017,Galen Rupp,United States,02:09:20,Chicago
38,2016,Abel Kirui,Kenya,02:11:23,Chicago
37,2015,Dickson Chumba,Kenya,02:09:25,Chicago
36,2014,Eliud Kipchoge,Kenya,02:04:11,Chicago
35,2013,Dennis Kimetto,Kenya,02:03:45,Chicago
34,2012,Tsegaye Kebede,Ethiopia,02:04:38,Chicago
33,2011,Moses Mosop,Kenya,02:05:37,Chicago
32,2010,Samuel Wanjiru,Kenya,02:06:23,Chicago
31,2009,Samuel Wanjiru,Kenya,02:05:41,Chicago
30,2008,Evans Cheruiyot,Kenya,02:06:25,Chicago
29,2007,Patrick Ivuti,Kenya,02:11:11,Chicago
28,2006,Robert Cheruiyot,Kenya,02:07:35,Chicago
27,2005,Felix Limo,Kenya,02:07:02,Chicago
26,2004,Evans Rutto,Kenya,02:06:16,Chicago
25,2003,Evans Rutto,Kenya,02:05:50,Chicago
24,2002,Khalid Khannouchi,United States,02:05:56,Chicago
23,2001,Ben Kimondiu,Kenya,02:08:52,Chicago
22,2000,Khalid Khannouchi,United States,02:07:01,Chicago
21,1999,Khalid Khannouchi,Morocco,02:05:42,Chicago
20,1998,Ondoro Osoro,Kenya,02:06:54,Chicago
19,1997,Khalid Khannouchi,Morocco,02:07:10,Chicago
18,1996,Paul Evans,United Kingdom,02:08:52,Chicago
17,1995,Eamonn Martin,United Kingdom,02:11:18,Chicago
16,1994,Luíz Antônio,Brazil,02:11:16,Chicago
15,1993,Luíz Antônio,Brazil,02:13:14,Chicago
14,1992,José Cesar de Souza,Brazil,02:16:14,Chicago
13,1991,Joseildo Rocha,Brazil,02:14:33,Chicago
12,1990,Martín Pitayo,Mexico,02:09:41,Chicago
11,1989,Paul Davies-Hale,United Kingdom,02:11:25,Chicago
10,1988,Alejandro Cruz,Mexico,02:08:57,Chicago
9,1986,Toshihiko Seko,Japan,02:08:27,Chicago
8,1985,Steve Jones,United Kingdom,02:07:13,Chicago
7,1984,Steve Jones,United Kingdom,02:08:05,Chicago
6,1983,Joseph Nzau,Kenya,02:09:44,Chicago
5,1982,Greg Meyer,United States,02:10:59,Chicago
4,1981,Phil Coppess,United States,02:16:13,Chicago
3,1980,Frank Richardson,United States,02:14:04,Chicago
2,1979,Dan Cloeter,United States,02:23:20,Chicago
1,1978,Mark Stanforth,United States,02:19:20,Chicago
0,1977,Dan Cloeter,United States,02:17:52,Chicago
0,2018,Eliud Kipchoge,Kenya,02:01:39,Berlin
1,2017,Eliud Kipchoge,Kenya,02:03:32,Berlin
2,2016,Kenenisa Bekele,Ethiopia,02:03:03,Berlin
3,2015,Eliud Kipchoge,Kenya,02:04:00,Berlin
4,2014,Dennis Kimetto,Kenya,02:02:57,Berlin
5,2013,Wilson Kipsang,Kenya,02:03:23,Berlin
6,2012,Geoffrey Mutai,Kenya,02:04:15,Berlin
7,2011,Patrick Musyoki,Kenya,02:03:38,Berlin
8,2010,Patrick Musyoki,Kenya,02:05:08,Berlin
9,2009,Haile Gebrselassie,Ethiopia,02:06:08,Berlin
10,2008,Haile Gebrselassie,Ethiopia,02:03:59,Berlin
11,2007,Haile Gebrselassie,Ethiopia,02:04:26,Berlin
12,2006,Haile Gebrselassie,Ethiopia,02:05:56,Berlin
13,2005,Philip Manyim,Kenya,02:07:41,Berlin
14,2004,Felix Limo,Kenya,02:06:44,Berlin
15,2003,Paul Tergat,Kenya,02:04:55,Berlin
16,2002,Raymond Kipkoech,Kenya,02:06:47,Berlin
17,2001,Joseph Ngolepus,Kenya,02:08:47,Berlin
18,2000,Simon Biwott,Kenya,02:07:42,Berlin
19,1999,Josephat Kiprono,Kenya,02:06:44,Berlin
20,1998,Ronaldo da Costa,Brazil,02:06:05,Berlin
21,1997,Elijah Lagat,Kenya,02:07:41,Berlin
22,1996,Abel Antón,Spain,02:09:15,Berlin
23,1995,Sammy Lelei,Kenya,02:07:02,Berlin
24,1994,António Pinto,Portugal,02:08:31,Berlin
25,1993,Xolile Yawa,South Africa,02:10:57,Berlin
26,1992,David Tsebe,South Africa,02:08:07,Berlin
27,1991,Steve Brace,United Kingdom,02:10:57,Berlin
28,1990,Steve Moneghetti,Australia,02:08:16,Berlin
29,1989,Alfredo Shahanga,Tanzania,02:10:11,Berlin
30,1988,Suleiman Nyambui,Tanzania,02:11:45,Berlin
31,1987,Suleiman Nyambui,Tanzania,02:11:11,Berlin
32,1986,Bogus?aw Psujek,Poland,02:11:03,Berlin
33,1985,Jimmy Ashworth,United Kingdom,02:11:43,Berlin
34,1984,John Skovbjerg,Denmark,02:13:35,Berlin
35,1983,Karel Lismont,Belgium,02:13:37,Berlin
36,1982,Domingo Tibaduiza,Colombia,02:14:47,Berlin
37,1981,Ian Ray,United Kingdom,02:15:42,Berlin
38,1980,Ingo Sensburg,West Germany,02:16:48,Berlin
39,1979,Ingo Sensburg,West Germany,02:21:09,Berlin
40,1978,Michael Spöttel,West Germany,02:20:03,Berlin
41,1977,Günter Mielke,West Germany,02:15:19,Berlin
42,1976,Ingo Sensburg,West Germany,02:23:08,Berlin
43,1975,Ralf Bochröder,West Germany,02:47:08,Berlin
44,1974,Günter Hallas,West Germany,02:44:53,Berlin
37,2018,Eliud Kipchoge,Kenya,02:04:17,London
36,2017,Daniel Wanjiru,Kenya,02:05:48,London
35,2016,Eliud Kipchoge,Kenya,02:03:05,London
34,2015,Eliud Kipchoge,Kenya,02:04:42,London
33,2014,Wilson Kipsang,Kenya,02:04:29,London
32,2013,Tsegaye Kebede,Ethiopia,02:06:04,London
31,2012,Wilson Kipsang,Kenya,02:04:44,London
30,2011,Emmanuel Mutai,Kenya,02:04:40,London
29,2010,Tsegaye Kebede,Ethiopia,02:05:19,London
28,2009,Samuel Wanjiru,Kenya,02:05:10,London
27,2008,Martin Lel,Kenya,02:05:15,London
