Marathon,Year,Athlete,Country,Time
Chicago,1998,Ondoro Osoro,Kenya,02:06:54
London,1998,Abel Antón,Spain,02:07:57
New York,1998,John Kagwe,Kenya,02:08:45
Berlin,1998,Ronaldo da Costa,Brazil,02:06:05
Boston,1997,Lameck Aguta,Kenya,02:10:34
New York,1997,John Kagwe,Kenya,02:08:12
London,1997,António Pinto,Portugal,02:07:55
Berlin,1997,Elijah Lagat,Kenya,02:07:41
Chicago,1997,Khalid Khannouchi,Morocco,02:07:10
Berlin,1996,Abel Antón,Spain,02:09:15
London,1996,Dionicio Cerón,Mexico,02:10:00
Boston,1996,Moses Tanui,Kenya,02:09:15
Chicago,1996,Paul Evans,United Kingdom,02:08:52
New York,1996,Giacomo Leone,Italy,02:09:54
Berlin,1995,Sammy Lelei,Kenya,02:07:02
Boston,1995,Cosmas Ndeti,Kenya,02:09:22
New York,1995,Germán Silva,Mexico,02:11:00
Chicago,1995,Eamonn Martin,United Kingdom,02:11:18
London,1995,Dionicio Cerón,Mexico,02:08:30
Berlin,1994,António Pinto,Portugal,02:08:31
New York,1994,Germán Silva,Mexico,02:11:21
Chicago,1994,Luíz Antônio,Brazil,02:11:16
London,1994,Dionicio Cerón,Mexico,02:08:53
Boston,1994,Cosmas Ndeti,Kenya,02:07:15
New York,1993,Andrés Espinosa,Mexico,02:10:04
Chicago,1993,Luíz Antônio,Brazil,02:13:14
Berlin,1993,Xolile Yawa,South Africa,02:10:57
London,1993,Eamonn Martin,United Kingdom,02:10:50
Boston,1993,Cosmas Ndeti,Kenya,02:09:33
London,1992,António Pinto,Portugal,02:10:02
Berlin,1992,David Tsebe,South Africa,02:08:07
New York,1992,Willie Mtolo,South Africa,02:09:29
Chicago,1992,José Cesar de Souza,Brazil,02:16:14
Boston,1992,Ibrahim Hussein,Kenya,02:08:14
New York,1991,Salvador García,Mexico,02:09:28
Berlin,1991,Steve Brace,United Kingdom,02:10:57
London,1991,Yakov Tolstikov,Soviet Union,02:09:17
Chicago,1991,Joseildo Rocha,Brazil,02:14:33
Boston,1991,Ibrahim Hussein,Kenya,02:11:06
Boston,1990,Gelindo Bordin,Italy,02:08:19
London,1990,Allister Hutton,United Kingdom,02:10:10
New York,1990,Douglas Wakiihuri,Kenya,02:12:39
Berlin,1990,Steve Moneghetti,Australia,02:08:16
Chicago,1990,Martín Pitayo,Mexico,02:09:41
Boston,1989,Abebe Mekonnen,Ethiopia,02:09:06
Chicago,1989,Paul Davies-Hale,United Kingdom,02:11:25
London,1989,Douglas Wakiihuri,Kenya,02:09:03
New York,1989,Juma Ikangaa,Tanzania,02:08:01
Berlin,1989,Alfredo Shahanga,Tanzania,02:10:11
Chicago,1988,Alejandro Cruz,Mexico,02:08:57
Berlin,1988,Suleiman Nyambui,Tanzania,02:11:45
Boston,1988,Ibrahim Hussein,Kenya,02:08:43
London,1988,Henrik Jørgensen,Denmark,02:10:20
New York,1988,Steve Jones,United Kingdom,02:08:20
London,1987,Hiromi Taniguchi,Japan,02:09:50
Berlin,1987,Suleiman Nyambui,Tanzania,02:11:11
Boston,1987,Toshihiko Seko,Japan,02:11:50
New York,1987,Ibrahim Hussein,Kenya,02:11:01
London,1986,Toshihiko Seko,Japan,02:10:02
Berlin,1986,Bogus?aw Psujek,Poland,02:11:03
Boston,1986,Robert Castella,Australia,02:07:51
Chicago,1986,Toshihiko Seko,Japan,02:08:27
New York,1986,Gianni Poli,Italy,02:11:06
London,1985,Steve Jones,United Kingdom,02:08:16
Chicago,1985,Steve Jones,United Kingdom,02:07:13
New York,1985,Orlando Pizzolato,Italy,02:11:34
Berlin,1985,Jimmy Ashworth,United Kingdom,02:11:43
Boston,1985,Geoff Smith,United Kingdom,02:14:05
London,1984,Charlie Spedding,United Kingdom,02:09:57
Boston,1984,Geoff Smith,United Kingdom,02:10:34
New York,1984,Orlando Pizzolato,Italy,02:14:53
Berlin,1984,John Skovbjerg,Denmark,02:13:35
Chicago,1984,Steve Jones,United Kingdom,02:08:05
New York,1983,Rod Dixon,New Zealand,02:08:59
London,1983,Mike Gratton,United Kingdom,02:09:43
Boston,1983,Greg Meyer,United States,02:09:00
Berlin,1983,Karel Lismont,Belgium,02:13:37
Chicago,1983,Joseph Nzau,Kenya,02:09:44
London,1982,Hugh Jones,United Kingdom,02:09:24
Berlin,1982,Domingo Tibaduiza,Colombia,02:14:47
